Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,50,5,Some Random Commen with Id 0
1,0,0,113,1,Some Random Commen with Id 1
2,0,0,171,7,Some Random Commen with Id 2
3,1,6,128,6,Some Random Commen with Id 3
4,1,6,121,6,Some Random Commen with Id 4
5,1,6,44,4,Some Random Commen with Id 5
6,1,6,91,9,Some Random Commen with Id 6
7,1,6,16,7,Some Random Commen with Id 7
8,1,6,83,2,Some Random Commen with Id 8
9,1,6,77,7,Some Random Commen with Id 9
10,1,6,46,8,Some Random Commen with Id 10
11,2,9,133,2,Some Random Commen with Id 11
12,2,9,10,4,Some Random Commen with Id 12
13,2,9,16,3,Some Random Commen with Id 13
14,2,9,54,4,Some Random Commen with Id 14
15,2,9,46,2,Some Random Commen with Id 15
16,2,9,94,5,Some Random Commen with Id 16
17,2,9,199,3,Some Random Commen with Id 17
18,3,9,60,7,Some Random Commen with Id 18
19,3,9,60,6,Some Random Commen with Id 19
20,4,9,86,0,Some Random Commen with Id 20
21,4,9,140,0,Some Random Commen with Id 21
22,4,9,32,1,Some Random Commen with Id 22
23,4,9,177,4,Some Random Commen with Id 23
24,5,8,90,8,Some Random Commen with Id 24
25,5,8,42,9,Some Random Commen with Id 25
26,6,2,14,0,Some Random Commen with Id 26
27,6,2,164,6,Some Random Commen with Id 27
28,6,2,82,6,Some Random Commen with Id 28
29,6,2,104,4,Some Random Commen with Id 29
30,6,2,91,5,Some Random Commen with Id 30
31,6,2,2,6,Some Random Commen with Id 31
32,7,2,102,7,Some Random Commen with Id 32
33,7,2,57,6,Some Random Commen with Id 33
34,7,2,105,3,Some Random Commen with Id 34
35,7,2,78,1,Some Random Commen with Id 35
36,7,2,40,7,Some Random Commen with Id 36
37,7,2,168,7,Some Random Commen with Id 37
38,8,9,125,7,Some Random Commen with Id 38
39,8,9,86,6,Some Random Commen with Id 39
40,8,9,183,0,Some Random Commen with Id 40
41,9,7,91,6,Some Random Commen with Id 41
42,9,7,23,0,Some Random Commen with Id 42
43,9,7,8,3,Some Random Commen with Id 43
44,9,7,31,5,Some Random Commen with Id 44
45,9,7,179,5,Some Random Commen with Id 45
46,9,7,148,7,Some Random Commen with Id 46
47,9,7,64,4,Some Random Commen with Id 47
48,9,7,148,5,Some Random Commen with Id 48
49,9,7,146,5,Some Random Commen with Id 49
50,10,0,147,0,Some Random Commen with Id 50
51,10,0,172,3,Some Random Commen with Id 51
52,10,0,56,4,Some Random Commen with Id 52
